RatingId,UserId,MovieId,Score
340,10,593,2
341,27,691,3
342,21,673,4
343,24,563,4
344,12,786,5
345,11,749,2
346,23,557,1
347,8,570,2
348,3,529,4
349,13,736,2
350,15,694,2
351,15,799,3
352,22,752,1
353,26,564,4
354,28,733,5
355,1,547,3
356,29,705,2
357,17,542,3
358,28,548,4
359,24,589,5
360,11,676,3
361,27,562,2
362,14,655,4
363,10,553,2
364,21,690,5
365,10,782,5
366,3,555,4
367,6,676,3
368,20,788,4
369,9,565,3
370,14,766,3
371,19,633,1
372,8,614,1
373,4,663,4
374,20,591,1
375,28,566,1
376,17,790,1
377,26,508,3
378,24,598,5
379,29,520,2
380,8,520,3
381,9,505,2
382,7,561,5
383,5,528,5
384,21,552,1
385,26,570,4
386,14,658,3
387,16,608,4
388,5,617,1
389,10,520,4
390,8,629,2
391,24,715,4
392,1,638,4
393,15,584,1
394,29,579,4
395,30,668,2
396,20,756,5
397,18,744,3
398,8,718,1
399,24,752,2
400,12,703,2
401,5,708,1
402,13,620,2
403,5,550,5
404,26,513,2
405,12,560,4
406,12,689,1
407,18,779,1
408,19,788,1
409,16,624,1
410,16,739,1
411,27,636,4
412,13,720,4
413,5,520,2
414,9,566,3
415,12,522,3
416,16,704,1
417,16,619,2
418,11,567,1
419,12,718,1
420,7,786,1
421,8,523,2
422,21,576,3
423,16,542,4
424,4,570,4
425,11,735,3
426,11,654,4
427,4,612,1
428,23,616,2
429,30,521,5
430,3,796,2
431,20,575,3
432,11,552,1
433,2,608,5
434,8,662,1
435,14,766,5
436,15,707,4
437,13,685,2
438,9,643,5
439,5,775,3
440,19,627,2
441,9,554,2
442,6,735,1
443,6,571,1
444,18,668,4
445,7,708,3
446,4,566,2
447,15,619,2
448,5,656,1
449,23,630,2
450,4,669,1
451,30,628,2
452,14,721,3
453,18,761,1
454,9,580,5
455,18,536,2
456,28,545,2
457,20,500,5
458,8,558,5
459,5,507,3
460,26,554,3
461,5,621,4
462,26,591,4
463,12,561,4
464,16,634,2
465,24,597,1
466,17,686,4
467,23,504,4
468,18,549,5
469,15,527,4
470,24,593,5
471,10,627,4
472,21,728,5
473,2,636,4
474,19,600,1
475,22,592,2
476,18,800,3
477,28,741,4
478,10,723,3
479,12,570,5
480,26,776,4
481,1,631,1
482,10,685,4
483,15,708,3
484,6,682,3
485,21,514,5
486,4,616,1
487,18,683,2
488,1,556,5
489,7,624,2
490,21,610,3
491,9,527,4
492,16,570,1
493,4,513,3
494,4,598,4
495,15,745,1
496,10,616,1
497,23,522,1
498,4,535,5
499,9,628,3
500,4,783,1
